shopId          shopName 	                      shopId               shopName                                  distance
1740647108 八剑传串烧居酒屋（杏坛路店） 291157 香河炉蝎子馆 10.903
65693104 海盗船主题餐厅（永泰庄店） 95258919 首迩紫菜包饭（航天桥店） 18.425
1654738 千鹤居酒屋（首都师范大学店） 92628134 金渝·水煮大湖鱼（交大店） 6.707
89922425 丰茂烤串（金源店） 152548912 香猪坊（五棵松店） 8.21
4122290 重八牛府之初入江湖（双榆树店） 37353 蓝钻·国际美食海鲜自助百汇（西直门店） 4.808
163379296 素味平生素食文化会所 110471625 尚鱼坊烤鱼家常菜（交大店） 26.285
1657361 Ricci睿奇餐厅（五道口店） 5850202 嗨货（工商大学店） 10.41
267279 DQ（金源新燕莎MALL店） 150021557 汉唐小馆（京粮广场店） 6.942
547444713 旧食代簋街龙虾烧烤 159637393 廣味潮鲜·一品潮滋味（五道口店） 5.715
263349 惠丰堂饭庄（翠微路店） 88839 小石灶酒家（百旺店） 16.296
194867276 夜小猫湘约串吧 281740 香丰阁（清河店） 9.604
265155 坪亭·铁板烧自助餐厅（中关村店） 193753596 广淼老铺 1.486
3287608 安安佳美蛋糕店 156629084 靠谱烤羊腿·羊蝎子（四道口店） 7.136
1229339990 985火锅串串香烧烤 346746 小牛海记潮汕牛肉店（牡丹园店） 2.917
47787 峰尚圣宴（人民大学店） 157724350 35号食府（增光路店） 5.297
51880811 通乐簋街小龙虾（石景山店） 160543543 蜀渝你的串说（六道口店） 22.643
332973 艺古斋牛街涮肉 150021557 汉唐小馆（京粮广场店） 11.402
80746534 郭靖烤全羊·莜面村·烧烤（西三旗店） 95474419 杨国福麻辣烫（牡丹园翠微店） 12.446
51880811 通乐簋街小龙虾（石景山店） 157258040 肉串汪（四道口店） 16.696
